huc12,receiving_flowline_ids,downstream_huc12,downstream_relationship_count,physical_transition_count,connector_transition_count,source_method,confidence,divergence_note
041000060106,EG4FP;YLRR,041000060201,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060201,AJ39Q;BH507;DRSBV,041000060202,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060202,6H6XR;852ZV;B7EUQ,041000060205,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060203,49UJ1;6U140;B7EUI;D8CZP,041000060205,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060204,7TTB5;E6DKD,041000060301,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060205,B2JY6;EG4EF;FJ34B;GC9ZC,041000060202;041000060301,2,1,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000060301,AE7F;B7EU5;FST1W;H0N8T,041000060303,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060302,96GLB;GH4NP,041000060303;041000060503,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000060303,4Q4FN;96GLB,041000060503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060401,264LR;5J6EO;C0KXB,041000060402,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060402,BH51X;CAB00;CTR5V,041000060404,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060403,1RMJV;59HKU,041000060404,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060404,1MSDM;21AG6,041000060504,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060501,6H6Y9;7RGB5,041000060503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060502,41WYW;83JOM,041000060503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060503,2AYXF;41WYW;6QWP2,041000060504,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060504,1MSDM;9BC4J;D8CYC,041000060604,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060601,3S8AH;F9CQ1,041000060602,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060602,9PXE8;DWNSZ,041000060604,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060603,BH50L;CTR5U,041000060604,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000060604,1WGKP;FST1Z,041000090201,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070101,1D4EJ;46RAU;7OYE5,041000070103,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070102,2PIIL;9PXCZ,041000070105,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070103,7K3OB;GH4P4,041000070105,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070104,21AC5;2AYX0,041000070105,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070105,21AC5;7OYG6;OX3B,041000070202,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070201,COVR4;FST2U,041000070202;041000070203,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070202,COVR4;D3H86,041000070203,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070203,18AC6;9PXCD;C0KXU;F4HCZ,041000070204,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070204,54MSV;9BC1M;F9CQQ;FE856,041000070904,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070301,4ZSPT;ASU8Q;D8CY3,041000070302,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070302,8RUNS;9L2DR;BVP19,041000070304,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070303,ANYVV;G7F5V,041000070304;041000070306,2,1,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070304,41WUQ;GC9VP,041000070306,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070305,2PIHL;C5GGJ,041000070306,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070306,2AYUY;3DPAF;8WQ5W,041000070402,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070401,2AYUY;D8CYQ,041000070306,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070402,54MTO;6VS07,041000070406,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070403,7AD3Q;CMIDA,041000070406,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070404,4LA92;9PXET,041000070406,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070405,EL03K;GJMDE,041000070406,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070406,4LA7P;F9CQN,041000070503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070501,5SVUS;AXP3E,041000070503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070502,2PIFZ;2UCWY,041000070503,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070503,5O19Q;H0N5G,041000070904;041000070905,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070601,5J6FE;AXP1V;H5IWK,041000070602,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070602,BVP0H;DMX2E;EPUYB,041000070603,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070603,2PIHO;9BC5B;9PXEJ;ASUAO;K2Q4,041000070604;041000070901,3,1,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070604,2PIHR;3NE28;6M1GZ;6VS16;7K3S5;AXP2I,041000070801;041000070806,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070701,8D92J;CAAZT,041000070703,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070702,BVP0G;H0N94,041000070703,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070703,7YOJP;8MZ0Z;F4HE5;FXPCD,041000070806;041000071003,2,1,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070801,2UCUD;3NE28;67HIJ;D3H97;GC9ZE,041000070604;041000070806,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070802,9ZN3O;A9DA7;FNYAR,041000070804,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070803,1RMKG;EZMC4,041000070805,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070804,1RMKG;GVQDG,041000070805,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070805,8RUNH;EB8SZ;EZMG1;F4HCM;OX35,041000070801;041000070806,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070806,1WGHT;5J9T;BH4YX;G7F76,041000071004;041000071005,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070901,7AD2V;8WQ60;H0N6T,041000070903,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070902,C0KXO;CTR3S,041000070903,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070903,4Q4FD;F9CQQ,041000070904,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070904,5O19Q;EB8VC,041000070905,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070905,5EBPR;FST3V;GVQDZ,041000070907,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000070906,5J6X;62MBI;7TTBE;CK0CF;DWNR6;FNYDT,041000070907;041000080605,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000070907,F4HBN;G7F76,041000071005,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000071001,3NE2L;7K3RQ,041000071003,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000071002,27WU3;2W53J;3NE2L;48JKX;5KZ38;9HZE9;CC402;DJVJS;ERNV3;FG119;FZI2C;K2N3,041000071003;041000071204;041000071205,7,7,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000071003,2KNU1;8MZ1X;B2JYQ,041000071004,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000071004,1WGKS;5J9T;62MCD;9G6RV;G2L2M;GLZ3P;OX39,041000071005;041000071206,4,2,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000071005,8RUON;9PXFP;CK0EX;GLZ3P;GVQEO,041000071206;041000071209,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000071101,6QWNB;9G6RQ;9URTO;H5ITP,041000071102;041000071103;041000080603,3,3,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000071102,6QWNB;7AD4G;9G6QJ;K2PL,041000071101;041000071103,2,2,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000071103,1MSAV;1MSEJ,041000071209,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000071201,158ND;1OKCQ;1TESW;2W5SH;4DDZX;4WQTE;4WRG9;5BAFG;72FQH;85CDV;8A6S5;9D587;9I01C;B4D74;DF1GL;DOPZP,041000040408;041000040502;041000071204,9,9,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000071202,10E4W;2CRAZ;2CRE2;2CS3D;3ANRR;3P6L4;5ZK1T;699XC;7BUP;7VMDG;8JY7U;8YIP9;AB77B;APS02;BIXYI;C2E02;CR9QB;DJVKY;DYGDY;EMSRN;FKVQE;GE2H5,041000040601;041000050101;041000071203,13,13,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000071203,15801;2CREK;2W54G;3ANPV;4DE1Q;5PTLS;5PTP7;72FRH;7H991;85CDB;8A6TE;8TNHI;8TNK5;A1FX0;APRZW;B4CK7;BNSAH;BSN88;C7HJK;DYGFM;E3BET;E862B;EMSQT;FG9NP;FKVPE;FZI55;GXJPD,041000050103;041000071202;041000071204;041000071205,16,15,1,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000071204,10E3B;1JQEF;2W578;30ZYA;3ANPU;3FHSH;3GTKA;5B9JX;5G4N6;5KZ57;64FAJ;6E544;6IZ9W;6NU74;6NU7G;6XKPN;80HKS;8JXCD;8JXCL;8OSC1;A1FX0;A1FX5;AKW99;APRXV;AZHY8;AZHZA;B4CKG;B9760;BNSAH;BSN67;DA5ZI;DA611;DA629;DF0N2;E3BJ5;EWJFJ;EWJGG;FB5E3;FG10J;GIX8Q,041000071201;041000071203;041000071205,24,21,3,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000071205,2IBL;35U1C;3KC6Z;3P6KC;56EWO;5UOBO;5ZJZP;72FQ1;72FSD;7OYEZ;8OSC1;9D4LB;A1FV4;AKW91;APRXF;B2JYR;B977R;C2DYT;CLT7U;D0F1S;DJVN0;E862B;EWJEN;F6AG7;FB5DP;G61FR;GVQF1;GXJPU;VJUP,041000050201;041000071203;041000071204;041000071206,17,17,0,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000071206,62MCD;CK0EX;GVQFT;WW1Q,041000071207;041000071209,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000071207,298M1;5J6EQ;5MAP7;AXP34;D8CVT;G2KZP;G2L1K;WW1Q,041000071208;041000071209,5,4,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000071208,2KNW0;38V1E;4JW2Y;4ZSQK;7TTCL;D8CYD;E1IGM,041000050205;041000071207;041000071209,4,2,2,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000071209,2PII1;59HIX;6M0ZA;FCUFM,041000071208;041000090201,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000080101,1HY98;C5GCH,041000080102;041000080103,2,2,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000080102,C5GCH;C5GDP,041000080103,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080103,3S87P;9ZMZZ;GQUTU,041000080105,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080104,2KNUY;4UYMH,041000080203,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080105,18A9D;2PIEN;4UYMH;54MRO,041000080203,2,1,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080201,5EBP4;9URRK,041000080203,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080202,7TT9I;9ZN17,041000080203,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080203,1RMHY;9BC27;9ZN17,041000080205,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080204,70NDU;DD7RQ,041000080205,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080205,BVOZX;GH4MT,041000080304,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080301,8MZ0P;8WQ2N;9URQ7,041000080302,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080302,BVOZX;C5GCO,041000080304,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080303,4UYMY;FJ339,041000080304,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080304,38V25;COVOO,041000080506,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080401,8D924;C0KWA,041000080404,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080402,46RB4;8D924,041000080404,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080403,2UCUQ;F8C3,041000080404;041000080405,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000080404,2UCUQ;EB8RK,041000080405,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080405,38V2K;G2L0T,041000080602,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080501,BH4YF;D8CXH,041000080502,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080502,2AYSI;7F82J,041000080506,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080503,88EQV;EUQMZ,041000080506,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080504,9L29Z;EG4CY,041000080506,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080505,9ZN00;GVQCK,041000080506,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080506,8RUKP;BCA8N,041000080602,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080601,2KNUQ;3X2BG,041000080602,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080602,3X2BG;DD7QU;E6DIF,041000080605,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080603,75HVV;7OYEC,041000080605,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080604,9PXCP;EB8TB,041000080605,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000080605,5EBPR;8RUL2,041000070905,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090101,7OY0O;EB8T7,041000090102;041000090104,2,2,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090102,41WVC;5IRY;7OY0O;CK0B4,041000090104;041000090502,2,2,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090103,4LA66;618ZD;7K39U;9URMM;B2JXD;BVP0Z;GH4MP,041000090104;041000090106;041000090203,4,4,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000090104,3DP5S;96GJJ;9URMM;B7ENL;BC9UF;BLZQV;C5FWL;YLLK,041000090101;041000090103;041000090105;041000090106,4,4,0,native 3DHP topology plus documented forward same-feature crossings,review,4 downstream HUC-12s observed; review divergence/boundary effects.
041000090105,2FT2U;6VRTX,041000090106,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090106,6H6PE;CAAIO,041000090207,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090201,189WT;41WSH;BC9TZ;H0N7F,041000090203,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090202,5O17E;7TTA2,041000090203,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090203,5O17E;6H6RG;7TTA2;A9CTF;OWWF,041000090202;041000090206,3,1,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090204,189W9;DI2L4,041000090206,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090205,5XQKO;G2KL9,041000090206,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090206,3IJNG;5XQKO;73UW3;B0WB3;E6D1J,041000090207,3,1,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090207,2UCRV;5J5WJ;CAAYK,041000090403,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090301,8WPZY;91KV1;H0N2A,041000090302,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090302,4LA8O;BQU9W,041000090403,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090401,EG493;EPUF4,041000090402,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090402,CAAYK;FXOVV,041000090207,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090403,BQU9W;F9CI4;GH44A,041000090510,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090501,1RM2B;4LA8I;54MDX;B2JVV;E1IA5,041000090508;041000090510,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090502,4Q47O;5IRY;7OYE1;88EAK;9G6JW;EB8BW;G7F4D,041000090503;041000090508,4,4,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090503,4UY74;5EBAF;96GJ9;EB8BW;F9C8A;FXP7M;GH45Q,041000090502;041000090508,4,4,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090504,1WGDT;5EB8T,041000090506,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090505,91KUR;EKZOZ,041000090506,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090506,9PWWS;EB8DD;EKZOZ,041000090507,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090507,4UYH8;6M1BV,041000090508;041000090509,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090508,1WGH5;3DP3Z;3NDNO;5SVMU;6M1BV;6VRID;96GJ9;ANYV4;CK0B9;COVJ2,041000090501;041000090503;041000090509,6,5,1,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000090509,38V1M;7TSUR,041000090510;041000090602,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090510,38V1M;ASU71,041000090602,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090601,2UCF0;DI2NF,041000090602;041000090603,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090602,2UCF0;E6D0Q,041000090603,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090603,3417A;91KVK;COV7J;DRSAK,041000090903,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090701,8MYK5;BIOXA;BXPI;COVK7,041000090702;041000090703;041000090803,3,3,0,native 3DHP topology plus documented forward same-feature crossings,review,3 downstream HUC-12s observed; review divergence/boundary effects.
041000090702,6QWML;8MYK5,041000090703,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090703,7F7MN;F9C8E,041000090804,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090801,7TSST;DMWKZ;GLYNV,041000090802,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090802,16WVJ;A4HUG;F9C8E;FWBAM,041000090602;041000090804,2,2,0,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090803,3X26Q;5EBLM,041000090804,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090804,8RUIQ;9BC33,041000090904,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000090901,59HJS;7ACOR;7AD45;7OYAL;88E8R,041000090902;041000090903,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090902,3NE45;FJ313,041000090903;041000090904,2,0,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090903,13G1G;1D3XS;3NDMN;4LA1K;8D8VI,041000090804;041000090904,3,2,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000090904,,,0,0,0,native 3DHP hydrosequence/dnhydrosequence,unresolved,No direct cross-HUC native transition in the review extract.
