atlas_relationship_id,source_phase,source_artifact,local_relationship_id,source_local_endpoint_id,target_local_endpoint_id,source_atlas_entity_id,target_atlas_entity_id,source_system_id,target_system_id,native_source_system_label,native_target_system_label,normalized_relationship_class,endpoint_role_source,endpoint_role_target,source_join_level,target_join_level,evidence_class,documented_or_inferred,source_id,evidence_strength,confidence,uncertainty_id,directionality,spatial_scale,temporal_basis,scenario_status,inference_basis,uncertainty,suitable_for_visualization,suitable_for_qualitative_reasoning,suitable_for_stress_test_propagation,suitable_for_quantitative_aggregation,Atlas_use,caveat
AR-10B-GDEP-013-b7a283b3,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-013,GA-010,GA-038,ENT-GOVERNANCE-GA-010,ENT-GOVERNANCE-GA-038,SYS-GOVERNANCE,SYS-GOVERNANCE,Climate / Natural Hazards,Climate / Natural Hazards,governance / authority,institutional actor,institutional actor,exact,exact,OBSERVED_DOCUMENTED,documented,s34_fema_nfhl,high,,,role_assignment,federal / county,2026 baseline,BASELINE_DEPENDENCY,NFHL data inform local planning; mapped data are not local ownership or observed-event control.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control. Local caveat: NFHL data inform local planning; mapped data are not local ownership or observed-event control."
AR-10B-GDEP-014-21f30e36,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-014,GA-008,GA-002,ENT-GOVERNANCE-GA-008,ENT-GOVERNANCE-GA-002,SYS-GOVERNANCE,SYS-GOVERNANCE,Ecology / Biodiversity,Ecology / Biodiversity,governance / authority,institutional actor,institutional actor,exact,exact,INFERRED,inferred,s05_ohio_npdes,moderate,,,role_assignment,federal / state,2026 baseline,BASELINE_DEPENDENCY,"Ohio EPA source documents state permitting; the overlap with USACE is a qualified project inference, not a blanket legal conclusion.",Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Ohio EPA source documents state permitting; the overlap with USACE is a qualified project inference, not a blanket legal conclusion."
AR-10B-GDEP-015-304290bc,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-015,GA-009,GA-008,ENT-GOVERNANCE-GA-009,ENT-GOVERNANCE-GA-008,SYS-GOVERNANCE,SYS-GOVERNANCE,Ecology / Biodiversity,Ecology / Biodiversity,governance / authority,institutional actor,institutional actor,exact,exact,INFERRED,inferred,s08_usfws_nwi,moderate,,,role_assignment,federal / federal,2026 baseline,BASELINE_DEPENDENCY,USFWS inventory/monitoring may inform decisions without itself being the permitter.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: USFWS inventory/monitoring may inform decisions without itself being the permitter.
AR-10B-GDEP-016-8cfa8e22,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-016,GA-002,GA-015,,,SYS-WATER,SYS-WATER,Water,Water,governance / authority,generalized external interface,generalized external interface,system-level,system-level,OBSERVED_DOCUMENTED,documented,s14_gsgp,moderate,,,role_assignment,state / state,2026 baseline,BASELINE_DEPENDENCY,Ohio and Michigan state programs are separate authorities connected through regional Great Lakes coordination; no shared regulator is created.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control. Local caveat: Ohio and Michigan state programs are separate authorities connected through regional Great Lakes coordination; no shared regulator is created."
AR-10B-GDEP-017-ddb5a8fe,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-017,GA-020,GA-019,,,SYS-WATER,SYS-WATER,Water,Water,governance / authority,generalized external interface,generalized external interface,system-level,system-level,INFERRED,inferred,s15_glwqa,limited,,,role_assignment,binational / binational,2026 baseline,BASELINE_DEPENDENCY,"GLWQA implementation and IJC reference/coordination roles are binational interfaces, not domestic permits.",Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: GLWQA implementation and IJC reference/coordination roles are binational interfaces, not domestic permits."
AR-10B-GDEP-018-20c52bbc,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-018,GA-021,GA-018,ENT-GOVERNANCE-GA-021,,SYS-GOVERNANCE,SYS-WATER,Ecology / Biodiversity,Water,governance / authority,institutional actor,generalized external interface,exact,system-level,INFERRED,inferred,s17_glifwc,moderate,,,role_assignment,tribal / binational,2026 baseline,BASELINE_DEPENDENCY,Intertribal treaty-rights/resource expertise may inform regional coordination; no Western Basin jurisdiction is inferred.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Intertribal treaty-rights/resource expertise may inform regional coordination; no Western Basin jurisdiction is inferred.
AR-10B-GDEP-019-1bdecb34,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-019,GA-022,GA-001,ENT-GOVERNANCE-GA-022,,SYS-GOVERNANCE,SYS-WATER,Ecology / Biodiversity,Water,governance / authority,institutional actor,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,s18_epa_tribal,limited,,,role_assignment,tribal / federal,2026 baseline,BASELINE_DEPENDENCY,EPA describes Tribal-government involvement; this does not establish a specific nation-specific project jurisdiction.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control. Local caveat: EPA describes Tribal-government involvement; this does not establish a specific nation-specific project jurisdiction."
AR-10B-GDEP-020-6bc2d4d5,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-020,GA-011,GA-013,ENT-GOVERNANCE-GA-011,,SYS-GOVERNANCE,SYS-WATER,Biogeochemical / Nutrient Flux,Water,governance / authority,institutional actor,generalized external interface,exact,system-level,OBSERVED_DOCUMENTED,documented,s11_nrcs_ohio,moderate,,,role_assignment,federal / special district,2026 baseline,BASELINE_DEPENDENCY,NRCS technical/financial assistance and local conservation support are voluntary/program-based rather than general regulation.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control. Local caveat: NRCS technical/financial assistance and local conservation support are voluntary/program-based rather than general regulation."
AR-10B-GDEP-021-88f7bc4c,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-021,GA-032,GA-031,ENT-GOVERNANCE-GA-032,ENT-GOVERNANCE-GA-031,SYS-GOVERNANCE,SYS-GOVERNANCE,Freight / Industry,Freight / Industry,governance / authority,institutional actor,institutional actor,exact,exact,OBSERVED_DOCUMENTED,documented,s29_fhwa,high,,,role_assignment,federal / state,2026 baseline,BASELINE_DEPENDENCY,Federal freight funding and state public-road ownership/operation are sequential support roles.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control. Local caveat: Federal freight funding and state public-road ownership/operation are sequential support roles."
AR-10B-GDEP-022-507c5c18,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-022,GA-033,GA-036,ENT-GOVERNANCE-GA-033,ENT-GOVERNANCE-GA-036,SYS-GOVERNANCE,SYS-GOVERNANCE,Freight / Industry,Freight / Industry,governance / authority,institutional actor,institutional actor,exact,exact,OBSERVED_DOCUMENTED,documented,s30_fra,high,,,role_assignment,federal / private,2026 baseline,BASELINE_DEPENDENCY,FRA safety regulation/enforcement and Norfolk Southern private operation are distinct.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Governance, monitoring, funding, advice, ownership, and coordination remain distinct from operational control. Local caveat: FRA safety regulation/enforcement and Norfolk Southern private operation are distinct."
AR-10B-GDEP-023-0282987a,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-023,GA-035,GA-037,ENT-GOVERNANCE-GA-035,ENT-GOVERNANCE-GA-037,SYS-GOVERNANCE,SYS-GOVERNANCE,Freight / Industry,Freight / Industry,governance / authority,institutional actor,institutional actor,exact,exact,INFERRED,inferred,s32_port,moderate,,,role_assignment,regional authority / private,2026 baseline,BASELINE_DEPENDENCY,Port-authority facilities and private railroad operation can interface without public operation of the railroad.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Port-authority facilities and private railroad operation can interface without public operation of the railroad.
AR-10B-GDEP-024-ce4fa674,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-024,GA-034,GA-035,ENT-GOVERNANCE-GA-034,ENT-GOVERNANCE-GA-035,SYS-GOVERNANCE,SYS-GOVERNANCE,Freight / Industry,Freight / Industry,governance / authority,institutional actor,institutional actor,exact,exact,INFERRED,inferred,s31_marad,limited,,,role_assignment,federal / regional authority,2026 baseline,BASELINE_DEPENDENCY,Federal maritime assistance may interface with port-authority facilities; no project-specific award or control is asserted.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Federal maritime assistance may interface with port-authority facilities; no project-specific award or control is asserted.
AR-10B-GDEP-025-b17a95bd,10B,data/processed/analysis/governance_dependency_register.csv,GDEP-025,GA-039,GA-004,ENT-GOVERNANCE-GA-039,,SYS-GOVERNANCE,SYS-WATER,Environmental Health / Exposure,Water,governance / authority,institutional actor,generalized external interface,exact,system-level,INFERRED,inferred,s40_lucas_health,limited,,,role_assignment,special district / public utility,2026 baseline,BASELINE_DEPENDENCY,Local health information can inform utility/public-health decisions without controlling treatment operations.,Local uncertainty/notes retained in source artifact.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Local health information can inform utility/public-health decisions without controlling treatment operations.
AR-13B-IDB-001-f5ed42ba,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-001,EXT-CLIMATE,EXT-VECTOR-ECOLOGY,SYS-CLIMATE,SYS-VECTOR-ECOLOGY,SYS-CLIMATE,SYS-VECTOR-ECOLOGY,,,high-level association,geographic unit,ecological entity,system-level,system-level,INFERRED,inferred,phase9_hazard_dependency_context,moderate,limited,IDBU-001,unspecified_or_associative,station/county/regional,2026 context; seasonal,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Climate observations can frame seasonal context, but this package does not estimate vector suitability, abundance, or disease incidence.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Accepted climate/hazard context can frame seasonality; it is not a thermal suitability model or disease forecast.
AR-13B-IDB-002-eb173fa7,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-002,EXT-HYDROLOGY,EXT-VECTOR-ECOLOGY,SYS-WATER,SYS-VECTOR-ECOLOGY,SYS-WATER,SYS-VECTOR-ECOLOGY,,,ecological relationship,geographic unit,ecological entity,system-level,system-level,INFERRED,inferred,phase1_water_context,moderate,limited,IDBU-002,directed_local_record,watershed/wetland/ditch generalized,2026 context; event/season dependent,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Standing-water and wetland context can identify a habitat interface, but vector response is not quantified.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Hydrology and wetland context can identify a habitat interface, but no vector count, abundance response, or human disease result is inferred."
AR-13B-IDB-003-225f0470,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-003,EXT-ECOLOGY,EXT-VECTOR-ECOLOGY,SYS-ECOLOGY,SYS-VECTOR-ECOLOGY,SYS-ECOLOGY,SYS-VECTOR-ECOLOGY,,,ecological relationship,ecological entity,ecological entity,system-level,system-level,INFERRED,inferred,phase6_ecology_context,moderate,limited,IDBU-003,directed_local_record,regional ecology/forest/wetland,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Accepted ecology and vector layers meet at generalized habitat and host interfaces; no abundance or contact rate is produced.
AR-13B-IDB-004-567747f1,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-004,EXT-VECTOR-ECOLOGY,DID-001,SYS-VECTOR-ECOLOGY,ENT-INFECTIOUS-DISEASE-DID-001,SYS-VECTOR-ECOLOGY,SYS-INFECTIOUS-DISEASE,,,high-level association,ecological entity,monitoring/surveillance interface,system-level,exact,INFERRED,inferred,phase12_vector_dependency_context,moderate,limited,IDBU-003,unspecified_or_associative,county/habitat/program,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Vector ecology is a dependency context for the West Nile system; it is not human infection, disease, incidence, or local transmission."
AR-13B-IDB-005-ce4f6d50,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-005,HOST-001,DID-002,ENT-INFECTIOUS-DISEASE-HOST-001,ENT-INFECTIOUS-DISEASE-DID-002,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,,,exposure pathway,monitoring/surveillance interface,monitoring/surveillance interface,exact,exact,INFERRED,inferred,phase11_population,limited,limited,IDBU-007,directed_local_record,county/place/generalized employment,2026 context,BASELINE_DEPENDENCY,project_inference,"Population concentration identifies a possible contact structure, not contact events, exposure, infection, or incidence.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Population and settlement context identifies a possible interface only; no individual contact, exposure, infection, or disease is assigned."
AR-13B-IDB-006-1b416a5c,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-006,SUR-003,REF-4,ENT-INFECTIOUS-DISEASE-SUR-003,SYS-DATA,SYS-INFECTIOUS-DISEASE,SYS-DATA,,,information / observation,monitoring/surveillance interface,monitoring/surveillance interface,exact,system-level,INFERRED,inferred,phase4_information,moderate,moderate,IDBU-011,directed_local_record,agency/county/state/program,2026 program context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Vector detections can enter an observation chain; this is not a disease observation or a risk estimate; detection intensity is not incidence, abundance, or response effectiveness."
AR-13B-IDB-007-c8da7d06,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-007,EXT-HYDROLOGY,ENV-001,SYS-WATER,ENT-INFECTIOUS-DISEASE-ENV-001,SYS-WATER,SYS-INFECTIOUS-DISEASE,,,exposure pathway,geographic unit,monitoring/surveillance interface,system-level,exact,INFERRED,inferred,phase1_water_context,moderate,limited,IDBU-004,directed_local_record,watershed/source/recreational water,2026 context; event dependent,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Water-system and hydrologic context support pathway analysis only; no contamination or exposure event is asserted.
AR-13B-IDB-008-d35015f6,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-008,EXT-FLOODING,ENV-001,SYS-CLIMATE,ENT-INFECTIOUS-DISEASE-ENV-001,SYS-CLIMATE,SYS-INFECTIOUS-DISEASE,,,exposure pathway,geographic unit,monitoring/surveillance interface,system-level,exact,INFERRED,inferred,phase9_hazard_dependency_context,moderate,limited,IDBU-004,directed_local_record,watershed/floodplain/source/recreational water,2026 context; event dependent,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Flooding and runoff are qualitative pathway interfaces; the record does not establish contamination, infection, illness, or outbreak."
AR-13B-IDB-009-0b36d503,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-009,EXT-WATER-INFRASTRUCTURE,ENV-001,SYS-WATER,ENT-INFECTIOUS-DISEASE-ENV-001,SYS-WATER,SYS-INFECTIOUS-DISEASE,,,ecological relationship,physical asset,monitoring/surveillance interface,system-level,exact,INFERRED,inferred,phase1_water_context,moderate,limited,IDBU-005,directed_local_record,water system/source/utility generalized,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,Water and energy infrastructure are generalized dependencies; facility condition and treatment performance are not modeled.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Infrastructure condition is generalized; no treatment failure, facility condition, receptor exposure, or disease burden is inferred."
AR-13B-IDB-010-69cec636,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-010,ENV-001,DID-004,ENT-INFECTIOUS-DISEASE-ENV-001,ENT-INFECTIOUS-DISEASE-DID-004,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,,,exposure pathway,monitoring/surveillance interface,monitoring/surveillance interface,exact,exact,OBSERVED_DOCUMENTED,documented,s13_cdc_water_surv,strong,high,IDBU-004,directed_local_record,source/recreational-water/investigation,current surveillance/pathway context,BASELINE_DEPENDENCY,documented_source,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Exposure pathway is not documented exposure, dose, illness, or a risk score. Local caveat: CDC waterborne surveillance supports an exposure/pathway interface; contamination is not infection or illness."
AR-13B-IDB-011-82ea547f,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-011,SUR-004,INST-001,ENT-INFECTIOUS-DISEASE-SUR-004,ENT-INFECTIOUS-DISEASE-INST-001,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,,,information / observation,monitoring/surveillance interface,monitoring/surveillance interface,exact,exact,OBSERVED_DOCUMENTED,documented,s13_cdc_legionella_surv,strong,high,IDBU-011,directed_local_record,jurisdiction/national/investigation,current program context,BASELINE_DEPENDENCY,documented_source,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Observation, reporting, and decision support are not authority, control, or incidence. Local caveat: Legionellosis reporting and exposure-setting information are surveillance interfaces; source attribution requires investigation."
AR-13B-IDB-012-50ef95ce,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-012,REF-4,REF-10,SYS-DATA,SYS-GOVERNANCE,SYS-DATA,SYS-GOVERNANCE,,,governance / authority,monitoring/surveillance interface,institutional actor,system-level,system-level,INFERRED,inferred,phase10_coordination_context,moderate,moderate,IDBU-011,role_assignment,program/agency/jurisdiction,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Observation may inform coordination; this is not a risk model; monitoring is not control and no response effectiveness is estimated.
AR-13B-IDB-013-dab2f488,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-013,EXT-FOOD-PRODUCTION,EXT-FOOD-PROCESSING,SYS-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,,,material flow,generalized external interface,generalized external interface,system-level,system-level,INFERRED,inferred,phase5_freight_context,limited,limited,IDBU-006,directed_local_record,regional/agricultural/bulk generalized,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Accepted freight/material context supports a generalized food-system interface; no facility, commodity, shipment, or contamination claim is made."
AR-13B-IDB-014-cec8be55,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-014,EXT-FOOD-PROCESSING,EXT-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,SYS-FREIGHT,,,unresolved / unclassified,generalized external interface,generalized external interface,system-level,system-level,INFERRED,inferred,phase5_freight_context,limited,limited,IDBU-006,unspecified_or_associative,regional freight/gateway/interchange,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Freight connectivity is an interface for propagation opportunity and investigation, not evidence of a shipment or outbreak."
AR-13B-IDB-015-291c716f,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-015,EXT-FREIGHT,DID-005,SYS-FREIGHT,ENT-INFECTIOUS-DISEASE-DID-005,SYS-FREIGHT,SYS-INFECTIOUS-DISEASE,,,high-level association,generalized external interface,monitoring/surveillance interface,system-level,exact,INFERRED,inferred,phase5_freight_context,limited,limited,IDBU-006,unspecified_or_associative,regional freight/gateway/interchange,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Food/freight connectivity is an interface, not a shipment, contaminated product, exposure, infection, incidence, or outbreak finding."
AR-13B-IDB-016-d94bb93e,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-016,DID-005,SUR-006,ENT-INFECTIOUS-DISEASE-DID-005,ENT-INFECTIOUS-DISEASE-SUR-006,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,,,information / observation,monitoring/surveillance interface,monitoring/surveillance interface,exact,exact,OBSERVED_DOCUMENTED,documented,s13_cdc_enteric,strong,high,IDBU-011,directed_local_record,state/territorial/national laboratory,current program context,BASELINE_DEPENDENCY,documented_source,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Observation, reporting, and decision support are not authority, control, or incidence. Local caveat: Laboratory and case surveillance identifies reported records; it does not capture all community infections or exposure locations."
AR-13B-IDB-017-6bb9c4a2,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-017,SUR-006,SUR-007,ENT-INFECTIOUS-DISEASE-SUR-006,ENT-INFECTIOUS-DISEASE-SUR-007,SYS-INFECTIOUS-DISEASE,SYS-INFECTIOUS-DISEASE,,,surveillance / detection,monitoring/surveillance interface,monitoring/surveillance interface,exact,exact,OBSERVED_DOCUMENTED,documented,s13_cdc_foodnet,strong,high,IDBU-011,directed_local_record,state/territorial/FoodNet surveillance area,current program context,BASELINE_DEPENDENCY,documented_source,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Surveillance or detection does not establish incidence, absence, transmission, or disease burden. Local caveat: FoodNet is complementary surveillance with its own coverage and denominator; it is not a Western Basin incidence estimate."
AR-13B-IDB-018-80d58860,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-018,SUR-005,REF-10,ENT-INFECTIOUS-DISEASE-SUR-005,SYS-GOVERNANCE,SYS-INFECTIOUS-DISEASE,SYS-GOVERNANCE,,,operational dependency,monitoring/surveillance interface,institutional actor,exact,system-level,INFERRED,inferred,s13_cdc_nors,moderate,moderate,IDBU-006,directed_local_record,state/local/territorial investigation,current program context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Outbreak reporting can support investigation and coordination; this is not outbreak evidence and connectivity is not an outbreak assertion.
AR-13B-IDB-019-b277a631,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-019,EXT-SETTLEMENT,EXT-CONTACT-STRUCTURE,SYS-POPULATION,SYS-POPULATION,SYS-POPULATION,SYS-POPULATION,,,exposure pathway,population/settlement entity,population/settlement entity,system-level,system-level,INFERRED,inferred,phase11_population,moderate,limited,IDBU-007,directed_local_record,county/place/generalized settlement,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Population concentration identifies a possible contact structure, not contact events, exposure, infection, or incidence.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,Inferred relationship retained: Population concentration is an interface for contact structure only; no density-to-incidence relationship is estimated.
AR-13B-IDB-020-4b0f2762,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-020,EXT-MOBILITY,EXT-CONTACT-STRUCTURE,SYS-POPULATION,SYS-POPULATION,SYS-POPULATION,SYS-POPULATION,,,exposure pathway,population/settlement entity,population/settlement entity,system-level,system-level,INFERRED,inferred,phase11_mobility_context,limited,limited,IDBU-008,directed_local_record,county/place/generalized mobility,2026 context,BASELINE_DEPENDENCY,accepted_layer_plus_project_inference,"Aggregate mobility can indicate possible connectivity, but commuting and movement are not transmission observations.",YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Aggregate mobility and commuting do not identify transmission, contacts, infections, or local incidence."
AR-13B-IDB-021-9eedbe4c,13B,data/processed/analysis/infectious_disease_dependency_register.csv,IDB-021,EXT-CONTACT-STRUCTURE,DID-008,SYS-POPULATION,ENT-INFECTIOUS-DISEASE-DID-008,SYS-POPULATION,SYS-INFECTIOUS-DISEASE,,,high-level association,population/settlement entity,monitoring/surveillance interface,system-level,exact,INFERRED,inferred,s13_cdc_flu_methods,limited,limited,IDBU-009,unspecified_or_associative,community/setting/generalized,2026 context,BASELINE_DEPENDENCY,project_inference,Indoor/community setting is a qualitative interface for respiratory systems; no density-to-incidence relationship is estimated.,YES,YES,QUALITATIVE_ONLY,NO,VISUALIZATION_AND_QUALITATIVE_REASONING,"Inferred relationship retained: Respiratory contact opportunity is a systems interface, not a population-density incidence model."
