dependency_id,population_or_settlement_object,system,interface,relationship_type,documented_or_inferred,spatial_scale,evidence_strength,source_id,confidence,reality_status,canon_status,notes
DEP-0013-climate_hazard,POP-ZONE-39173,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0013-environmental_health,POP-ZONE-39173,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0013-ecology_land,POP-ZONE-39173,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0013-biogeochemical,POP-ZONE-39173,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0013-housing_infrastructure,POP-ZONE-39173,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0013-governance,POP-ZONE-39173,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0014-water,POP-ZONE-26091,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0014-wastewater,POP-ZONE-26091,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0014-energy,POP-ZONE-26091,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0014-transport,POP-ZONE-26091,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_mi_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0014-climate_hazard,POP-ZONE-26091,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0014-environmental_health,POP-ZONE-26091,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0014-ecology_land,POP-ZONE-26091,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0014-biogeochemical,POP-ZONE-26091,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0014-housing_infrastructure,POP-ZONE-26091,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0014-governance,POP-ZONE-26091,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0015-water,POP-ZONE-26115,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0015-wastewater,POP-ZONE-26115,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0015-energy,POP-ZONE-26115,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0015-transport,POP-ZONE-26115,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_mi_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0015-climate_hazard,POP-ZONE-26115,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0015-environmental_health,POP-ZONE-26115,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0015-ecology_land,POP-ZONE-26115,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0015-biogeochemical,POP-ZONE-26115,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0015-housing_infrastructure,POP-ZONE-26115,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0015-governance,POP-ZONE-26115,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0016-water,POP-ZONE-18003,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0016-wastewater,POP-ZONE-18003,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0016-energy,POP-ZONE-18003,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0016-transport,POP-ZONE-18003,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0016-climate_hazard,POP-ZONE-18003,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0016-environmental_health,POP-ZONE-18003,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0016-ecology_land,POP-ZONE-18003,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0016-biogeochemical,POP-ZONE-18003,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0016-housing_infrastructure,POP-ZONE-18003,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0016-governance,POP-ZONE-18003,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0017-water,POP-ZONE-18033,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0017-wastewater,POP-ZONE-18033,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0017-energy,POP-ZONE-18033,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0017-transport,POP-ZONE-18033,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0017-climate_hazard,POP-ZONE-18033,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0017-environmental_health,POP-ZONE-18033,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0017-ecology_land,POP-ZONE-18033,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0017-biogeochemical,POP-ZONE-18033,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0017-housing_infrastructure,POP-ZONE-18033,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0017-governance,POP-ZONE-18033,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0018-water,POP-ZONE-18151,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0018-wastewater,POP-ZONE-18151,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0018-energy,POP-ZONE-18151,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0018-transport,POP-ZONE-18151,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0018-climate_hazard,POP-ZONE-18151,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0018-environmental_health,POP-ZONE-18151,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0018-ecology_land,POP-ZONE-18151,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0018-biogeochemical,POP-ZONE-18151,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0018-housing_infrastructure,POP-ZONE-18151,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0018-governance,POP-ZONE-18151,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0019-water,MUNI-1801666,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0019-wastewater,MUNI-1801666,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0019-energy,MUNI-1801666,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0019-transport,MUNI-1801666,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0019-climate_hazard,MUNI-1801666,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0019-environmental_health,MUNI-1801666,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0019-ecology_land,MUNI-1801666,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0019-biogeochemical,MUNI-1801666,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0019-housing_infrastructure,MUNI-1801666,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0019-governance,MUNI-1801666,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0020-water,MUNI-1802674,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0020-wastewater,MUNI-1802674,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0020-energy,MUNI-1802674,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0020-transport,MUNI-1802674,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0020-climate_hazard,MUNI-1802674,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0020-environmental_health,MUNI-1802674,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0020-ecology_land,MUNI-1802674,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0020-biogeochemical,MUNI-1802674,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0020-housing_infrastructure,MUNI-1802674,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0020-governance,MUNI-1802674,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0021-water,MUNI-1825000,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0021-wastewater,MUNI-1825000,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0021-energy,MUNI-1825000,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0021-transport,MUNI-1825000,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0021-climate_hazard,MUNI-1825000,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0021-environmental_health,MUNI-1825000,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0021-ecology_land,MUNI-1825000,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0021-biogeochemical,MUNI-1825000,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0021-housing_infrastructure,MUNI-1825000,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0021-governance,MUNI-1825000,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0022-water,MUNI-1826386,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0022-wastewater,MUNI-1826386,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0022-energy,MUNI-1826386,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0022-transport,MUNI-1826386,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0022-climate_hazard,MUNI-1826386,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0022-environmental_health,MUNI-1826386,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0022-ecology_land,MUNI-1826386,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0022-biogeochemical,MUNI-1826386,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0022-housing_infrastructure,MUNI-1826386,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0022-governance,MUNI-1826386,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0023-water,MUNI-1835266,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0023-wastewater,MUNI-1835266,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0023-energy,MUNI-1835266,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0023-transport,MUNI-1835266,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0023-climate_hazard,MUNI-1835266,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0023-environmental_health,MUNI-1835266,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0023-ecology_land,MUNI-1835266,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0023-biogeochemical,MUNI-1835266,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0023-housing_infrastructure,MUNI-1835266,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0023-governance,MUNI-1835266,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0024-water,MUNI-1852992,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0024-wastewater,MUNI-1852992,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0024-energy,MUNI-1852992,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0024-transport,MUNI-1852992,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_in_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0024-climate_hazard,MUNI-1852992,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0024-environmental_health,MUNI-1852992,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0024-ecology_land,MUNI-1852992,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0024-biogeochemical,MUNI-1852992,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0024-housing_infrastructure,MUNI-1852992,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0024-governance,MUNI-1852992,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0025-water,MUNI-2600440,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
DEP-0025-wastewater,MUNI-2600440,wastewater,wastewater collection/treatment interface,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,"Generalized service-responsibility context only; no state-specific permit, sewer territory, or load claim."
DEP-0025-energy,MUNI-2600440,energy,electricity/heating dependence,functional_service_dependence,inferred,county/place,moderate,phase10_s24_pjm,moderate,real,inferred,"Regional wholesale/high-voltage context only; no local distribution assignment, demand model, or outage probability."
DEP-0025-transport,MUNI-2600440,transport,residence/workplace mobility interface,functional_service_dependence,inferred,county/county_pair,moderate,s11b_lodes_mi_od,limited,real,inferred,State-matched LODES OD supports generalized commuting context; the dependency is inferred and exposes no individual paths or passenger surveillance.
DEP-0025-climate_hazard,MUNI-2600440,climate_hazard,settlement to physical hazard interface,physical_hazard_interface,inferred,county/regional,limited,phase9_hazard_context,limited,real,inferred,"Hazard interface is not exposure, dose, or health outcome."
DEP-0025-environmental_health,MUNI-2600440,environmental_health,settlement to accepted pathway context,pathway_interface,reused_context,county/regional,limited,phase7_exposure_context,limited,real,inferred,"Population presence is not exposure, dose, illness, or risk."
DEP-0025-ecology_land,MUNI-2600440,ecology_land,settlement and land/wetland interface,land_cover_interface,inferred,county/regional,limited,phase6_ecology_context,limited,real,inferred,"No habitat quality, biodiversity, or ecological-risk score."
DEP-0025-biogeochemical,MUNI-2600440,biogeochemical,stormwater/wastewater/nutrient interface,material_flow_interface,inferred,county/watershed,limited,phase8_biogeochemical_context,limited,real,inferred,"No new nutrient load, concentration, or treatment outcome."
DEP-0025-housing_infrastructure,MUNI-2600440,housing_infrastructure,housing age/units and maintenance/energy context,contextual_interface,inferred,county/place,limited,s11a_acs_2024_5yr,limited,real,inferred,"Housing context is not a condition, desirability, or vulnerability score."
DEP-0025-governance,MUNI-2600440,governance,municipal boundary/service-responsibility interface,institutional_interface,inferred,municipal/county,moderate,phase10_governance_context,moderate,real,inferred,"Boundary, operator, service territory, and population served remain distinct."
DEP-0026-water,MUNI-2623380,water,drinking-water service dependence,functional_service_dependence,inferred,county/place,limited,phase10_governance_context,limited,real,inferred,Generalized service-responsibility context only; no state-specific operator or exact resident-to-utility assignment.
